issue_date,all,location,age_days,old,date_extract,veryold,State,id,key
"2022-05-30","!SYR 05/142 SYR OBST TOWER LGT (ASR 1028678) 430533.00N0761110.00W (3.7NM WSW SYR) 674.9FT (258.9FT AGL) U/S 2205300057-2207150056\nCREATED: 30 May 2022 00:56:00 \nSOURCE: SYR","KSYR",2,0,"2022-06-01",0,"USA","!SYR 05/142","8470#!SYR 05/142#KSYR#2022-06-01"
"2022-03-28","!ACK 03/043 ACK RWY 12/30 SFC MARKINGS REMOVED 2203281100-PERM\nCREATED: 21 Mar 2022 11:32:00 \nSOURCE: ACK","KACK",65,0,"2022-06-01",0,"USA","!ACK 03/043","14611#!ACK 03/043#KACK#2022-06-01"
"2022-06-01","!HTS 06/002 HTS OBST TOWER LGT (ASR 1250903) 382232.20N0823338.20W (0.4NM N HTS) 978.0FT (145.0FT AGL) U/S 2206011645-2206161545\nCREATED: 01 Jun 2022 16:43:00 \nSOURCE: HTS","KHTS",0,0,"2022-06-01",0,"USA","!HTS 06/002","4945#!HTS 06/002#KHTS#2022-06-01"
"2022-03-24","L0018/22 NOTAMN \nQ) ZTL/QXXXX/IV/NBO/A/000/999/3354N08430W005 A) KMGE B) 2203241326 C) 2206201200\nE) THE FIRE STATION LOCATION HAS CHANGED FROM PUBLISHED FLIP\n CONTENT.THE FIRE STATION IS NOW LOCATED EAST OF BASEOPS/AMOPS\n BUILDING 737\nCREATED: 24 Mar 2022 13:26:00 \nSOURCE: KMGE","KMGE",69,0,"2022-06-01",0,"USA","L0018/22","15355#L0018/22#KMGE#2022-06-01"
"2022-05-09","!FDC 2/1003 IAH IAP GEORGE BUSH INTCNTL/HOUSTON,\nHOUSTON, TX.\nRNAV (GPS) Z RWY 8R, AMDT 4C...\nLNAV/VNAV DA 559/HAT 464 ALL CATS. VISIBILITY ALL CATS RVR 5000.\nLNAV MDA 660/HAT 565 ALL CATS. VISIBILITY CATS C/D/E 1 1/4. VDP\n1.54 NM TO RWY 8R FOR INOP MALSR, INCREASE LPV CAT E VISIBILITY TO\nRVR 4000, LNAV/VNAV ALL CATS VISIBILITY TO 1 3/8 SM AND LNAV CATS\nC/D/E TO 1 5/8 SM. TEMPORARY CRANE 348FT MSL 2204FT WEST OF RWY 15R\n(2022-ASW-4175-OE).\n2205091352-2207021352EST\nCREATED: 09 May 2022 13:52:00 \nSOURCE: KDZZNAXX","KIAH",23,0,"2022-06-01",0,"USA","!FDC 2/1003","5322#!FDC 2/1003#KIAH#2022-06-01"
"2021-04-16","!FDC 1/0706 ZDV KS..ROUTE ZDV ZKC.\nV17 GARDEN CITY (GCK) VORTAC, KS TO COFFE, KS MOCA 4700.\n2104161846-2304141846EST\nCREATED: 16 Apr 2021 18:46:00 \nSOURCE: KDZZNAXX","KZDV",411,0,"2022-06-01",1,"USA","!FDC 1/0706","31025#!FDC 1/0706#KZDV#2022-06-01"
"2021-03-16","!MIA 03/200 MIA OBST CRANE (ASN 2020-ASO-29974-OE) 254703N0801921W (1.9NM WSW MIA) 95FT (90FT AGL) FLAGGED 2103160520-2403110400\nCREATED: 16 Mar 2021 05:20:00 \nSOURCE: MIA","KMIA",442,0,"2022-06-01",1,"USA","!MIA 03/200","15306#!MIA 03/200#KMIA#2022-06-01"
"2022-05-27","!RUT 05/022 RUT NAV ILS RWY 19 LOC NOT MNT 2205271438-2206032000EST\nCREATED: 27 May 2022 14:36:00 \nSOURCE: AOCC","KRUT",5,0,"2022-06-01",0,"USA","!RUT 05/022","7869#!RUT 05/022#KRUT#2022-06-01"
"2022-04-15","X0148/22 NOTAMR X0029/22\nQ) ZOB/QXXXX/IV/NBO/A/000/999/4236N08250W005 A) KMTC B) 2204151808 C) 2207140500\nE) DUE TO POTENTIAL 5G INTERFERENCE, RADIO ALTIMETER MAY BE\n UNUSABLE. REFER TO 5G – RADIO ALTIMETER TAB ON DAIP FOR MORE\n INFORMATION AND REPORTING INSTRUCTIONS.\nCREATED: 15 Apr 2022 18:08:00 \nSOURCE: KCNF","KMTC",47,0,"2022-06-01",0,"USA","X0148/22","6086#X0148/22#KMTC#2022-06-01"
"2021-09-08","!MKC 09/018 MKC OBST CRANE (ASN 2021-ACE-2509-NRA) 390811N0943513W (0.9NM NNE MKC) 811FT (69FT AGL) FLAGGED AND LGTD 2109082130-2209030001\nCREATED: 08 Sep 2021 21:30:00 \nSOURCE: MKC","KMKC",266,1,"2022-06-01",0,"USA","!MKC 09/018","6371#!MKC 09/018#KMKC#2022-06-01"
